SMILES,MolWeight,HOMO,LUMO,E NEG,HARDNESS,SOFTNESS,MULLIKEN,LOEWDIN,MAYER,HIRSHFELD,FSPE,DIPOLE,CHEM SHIELD,Hirshfeld,ADCH,MK-ESP,CM5,QTAIM,IBO,Vbur,CB DIST
OB(O)C1=C(OC(F)(F)F)C=CC(Cl)=C1,239.99723676,-9.3015,0.5854,4.35805,4.94345,0.20228787587615935,-0.05855,-0.032304,6.0,-0.070115,-1280.267903928357,2.75528,54.699,-0.07326361,-0.06195206,-0.2595047152,-0.00969655,-0.572904,-0.156722,28.141532918258466,1.5721012350731343
CC1=C(C=CS1)B(O)O,142.025980864,-8.6745,1.2034,3.73555,4.93895,0.20247218538353293,-0.116782,-0.11693,6.0,-0.105344,-768.405419342746,0.96729,58.583,-0.11117159,-0.13581165,-0.3020349598,-0.04748619,-0.633719,-0.210146,24.452986645578783,1.55823785110657
OB(O)C1=CC=C(OC2CCCCC2)C=C1,220.127074804,-8.1296,1.6329,3.24835,4.88125,0.20486555697823305,-0.072564,-0.089027,6.0,-0.096458,-718.244931109597,1.66474,64.544,-0.09956808,-0.12532793,-0.2028481176,-0.03832572,-0.666069,-0.187226,22.576169764877537,1.5509767620516
OB(O)C1=CC=C(OCCN2CCCCC2)C=C1,249.15362389999999,-7.8945,1.5329,3.1808,4.7137,0.21214756984958735,-0.066945,-0.087255,6.0,-0.094902,-812.899560080317,1.76164,63.871,-0.09808216,-0.14461263,-0.2128165677,-0.03694294,-0.663028,-0.18528,22.581390686432844,1.551596860309563
CC1=CC(O[Si](C)(C)C(C)(C)C)=CC(C)=C1B(O)O,280.16660158999997,-8.1131,1.7419,3.1855999999999995,4.927499999999999,0.20294266869609337,-0.120177,-0.026756,6.0,-0.097814,-1088.869837480718,2.51745,60.218,-0.09928668,0.04334813,-0.5564782186,-0.03615355,-0.66148,-0.195,30.88725037033737,1.5654880803281745
CCC1=CC(B(O)O)=C(F)C=C1,168.07578818000002,-9.2471,0.715,4.26605,4.98105,0.20076088374941028,-0.045812,-0.058976,6.0,-0.088975,-586.208883186481,4.59672,64.947,-0.09143198,-0.0001333,-0.4464768943,-0.03220439,-0.591995,-0.20429,23.811648641725046,1.5815203339138684
OB(O)C1=CC(OC(F)(F)F)=C(Cl)C=C1,239.99723676,-9.1449,0.6293,4.2578,4.8871,0.2046203269832825,-0.067693,-0.064523,6.0,-0.069348,-1280.266580386555,5.19006,53.324,-0.07158327,-0.10905687,0.0194516724,-0.01184138,-0.612903,-0.143239,22.728899123442076,1.5614414532673542
CC(=O)C1=CC=C(C=C1)C1=CC=C(C=C1)B(O)O,240.095774676,-8.9119,-0.2591,4.5855,4.3264,0.2311390532544379,0.080238,-0.077796,6.0,-0.077332,-792.042437608029,2.60518,48.534,-0.07987926,-0.04458246,-0.2669353721,-0.02417818,-0.644174,-0.171382,22.56238653197153,1.5723217071495368
COC1=CC=C(C=C1O[Si](C)(C)C(C)(C)C)B(O)O,282.145866146,-8.3527,1.3689,3.4919000000000002,4.8608,0.20572745227123107,0.083052,-0.091392,6.0,-0.091443,-1124.772651306903,5.05432,56.618,-0.09363657,-0.0510912,-0.3448773518,-0.03688102,-0.647996,-0.187206,22.548046400766292,1.5675979330449006
CC1=CC(=CC=C1Br)B(O)O,213.980071996,-9.1952,0.7324,4.2314,4.9638,0.2014585599742133,0.113574,-0.078381,6.0,-0.077795,-3021.247633433174,1.73651,48.732,-0.07988766,0.05645509,-0.2365772578,-0.0241594,-0.638157,-0.17013,22.591693304968647,1.5725346478764992
COC(=O)C1=C(F)C=C(C=C1F)B(O)O,216.040545544,-9.603,0.214,4.6945,4.9085,0.20372822654578793,0.125207,-0.055614,6.0,-0.057139,-834.727789972109,1.78101,46.26,-0.05854675,-0.01040348,0.006261007,-0.00051532,-0.592277,-0.128625,22.635340209171,1.5693641529989586
OB(O)C1=CC=C(F)C(C#N)=C1F,183.030315208,-10.1,-0.198,5.149,4.951,0.20197939810139368,-0.193606,-0.055384,6.0,-0.088284,-699.073796603957,4.73838,71.744,-0.09071372,-0.12915356,-0.4780790998,-0.02897379,-0.557647,-0.208208,23.83489914571801,1.5736576785086884
COC(=O)C1(CC1)C1=CC=C(C=C1)B(O)O,220.090689296,-9.269,0.9006,4.1842,5.0848,0.19666456891126494,0.100504,-0.079633,6.0,-0.079441,-752.933675480737,1.75342,49.602,-0.08188069,0.08235318,-0.3886687665,-0.02602495,-0.651736,-0.173542,22.567885902676455,1.5713448379447084
COC1=C(C=CC=C1)C1=CC=C(C=C1)B(O)O,228.095774676,-8.2128,0.7502,3.7313,4.4815,0.22313957380341407,0.032372,-0.077714,6.0,-0.08075,-753.917743020836,2.9057,56.374,-0.08347235,-0.10635721,-0.201079122,-0.02501038,-0.650973,-0.167251,22.559045142176135,1.562067575280886
C[Si](C)(C)CCOCN1C(=CC2=CC=CN=C12)B(O)O,292.141449462,-8.361,0.4775,3.9417500000000003,4.41925,0.22628274028398485,-0.104524,-0.093958,6.0,-0.0258,-1157.826015218501,1.69084,45.147,-0.0349638,-0.08810634,-0.1326973511,0.09156734,-0.268833,-0.069643,30.41437410200149,1.5614190979453095
OB(O)C1=CC=C(C=C1C=O)C(F)(F)F,218.036209112,-9.9977,-0.3371,5.1674,4.8303,0.20702647868662402,0.050551,0.022404,6.0,-0.030152,-858.758734797069,2.79622,36.765,-0.03252696,-0.06482827,0.0778342119,0.02741816,-0.5491,-0.082406,29.434650769076555,1.585015844877048
OB(O)C1=C(Br)C=CC(=C1)C(F)(F)F,267.95180656,-9.7959,0.178,4.808949999999999,4.98695,0.2005233659852214,0.006804,-0.063735,6.0,-0.066947,-3319.045177262883,2.27343,52.354,-0.07113556,-0.09029057,-0.0349007675,-0.01358066,-0.558981,-0.158875,25.822608400253944,1.5832295313147433
OB(O)C1=C(CSC2=NC=C(C=N2)C(=O)NC2=CC=C(F)C=C2)C=C(OC(F)(F)F)C=C1,467.07342020799996,-8.779,0.1217,4.32865,4.45035,0.22470142797757478,-0.058545,-0.046889,6.0,-0.081967,-2020.379750956552,2.84799,53.679,-0.08372072,-0.0021378,-0.3519310315,-0.02356919,-0.634634,-0.170471,30.68683659490104,1.5698680154726918
CC1=C(OC2=CC=CC=C12)B(O)O,176.064474548,-8.3699,0.6463,3.8617999999999997,4.5081,0.22182294092855084,0.129884,-0.105444,6.0,-0.015091,-599.084826115983,0.59171,33.57,-0.0219827,-0.02456454,-0.2040283288,0.06749708,-0.253633,-0.000635,22.60895715224486,1.548902465467572
OB(O)C1=CC=CC=C1CC1=CC=CC=C1,212.100860056,-8.7695,1.2515,3.7590000000000003,5.0105,0.19958088015168146,-0.045863,-0.036773,6.0,-0.075532,-678.696078926753,1.16066,46.747,-0.07705512,0.16744829,-0.3785395803,-0.01775615,-0.646862,-0.162321,34.28572224140428,1.570698776117363
COCOC1=CC=C(B(O)O)C(OC)=C1,212.085603916,-8.315,1.4367,3.4391499999999997,4.87585,0.20509244541977298,-0.174958,-0.065995,6.0,-0.105648,-751.941581273203,3.90295,74.951,-0.10880311,-0.15458424,-0.5390334235,-0.04522792,-0.624308,-0.219949,24.362072998229063,1.5629193696871801
